"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
5,"72",320.5,"Left",1,1,0,50,"Left","NoStop"
5,"73",805.0999999,"Left",1,0,1,50,"NoGo","Stop"
5,"74",803,"Left",1,0,1,50,"NoGo","Stop"
5,"75",479.8,"Right",1,1,0,50,"Right","NoStop"
5,"76",838.6,"Left",1,0,1,50,"NoGo","Stop"
5,"77",338,"Left",1,1,0,50,"Left","NoStop"
5,"78",350,"Right",1,1,0,50,"Right","NoStop"
5,"79",310.8000001,"Left",1,1,0,50,"Left","NoStop"
5,"80",285.9,"Left",1,1,0,50,"Left","NoStop"
5,"81",352.2,"Right",1,1,0,50,"Right","NoStop"
5,"82",466.9,"Right",1,1,0,50,"Right","NoStop"
5,"83",390.3,"Left",1,1,0,50,"Left","NoStop"
5,"84",780.1999999,"Right",1,0,1,50,"NoGo","Stop"
5,"85",959.5999999,"Left",1,0,1,50,"NoGo","Stop"
5,"86",386.6999999,"Right",1,1,0,50,"Right","NoStop"
5,"87",771.8,"Left",1,0,1,50,"NoGo","Stop"
5,"88",433.1999999,"Left",1,1,0,50,"Left","NoStop"
5,"89",264.4,"Right",1,1,0,50,"Right","NoStop"
5,"90",348.8,"Right",1,1,0,50,"Right","NoStop"
5,"91",404.3,"Left",1,1,0,50,"Left","NoStop"
5,"92",305.9,"Left",1,1,0,50,"Left","NoStop"
5,"93",314.2,"Left",1,1,0,50,"Left","NoStop"
5,"94",819.8000001,"Right",1,0,1,50,"NoGo","Stop"
5,"95",341.2,"Left",1,1,0,50,"Left","NoStop"
5,"96",408.5,"Left",1,1,0,50,"Left","NoStop"
5,"97",313.7,"Right",1,1,0,50,"Right","NoStop"
5,"98",783.5,"Left",1,0,1,50,"NoGo","Stop"
5,"99",769.9,"Right",1,0,1,50,"NoGo","Stop"
5,"100",789,"Right",1,0,1,50,"NoGo","Stop"
5,"101",254.7,"Right",1,1,0,50,"Right","NoStop"
5,"102",443.3000001,"Left",1,1,0,50,"Left","NoStop"
5,"103",804.8,"Left",1,0,1,50,"NoGo","Stop"
5,"104",344.4,"Left",1,1,0,50,"Left","NoStop"
5,"105",340.5,"Right",1,1,0,50,"Right","NoStop"
5,"106",785.9000001,"Right",1,0,1,50,"NoGo","Stop"
5,"107",734,"Right",1,0,1,50,"NoGo","Stop"
5,"108",329.9,"Right",1,1,0,50,"Right","NoStop"
5,"109",427.1999999,"Left",1,1,0,50,"Left","NoStop"
5,"110",759.4000001,"Right",1,0,1,50,"NoGo","Stop"
5,"111",348.2,"Right",1,1,0,50,"Right","NoStop"
5,"112",331.5,"Left",1,1,0,50,"Left","NoStop"
5,"113",788.8000001,"Left",1,0,1,50,"NoGo","Stop"
5,"114",687.7,"Right",1,1,0,50,"Right","NoStop"
5,"115",439.4,"Right",1,1,0,50,"Right","NoStop"
5,"116",340.8000001,"Right",1,0,1,50,"Left","NoStop"
5,"117",345.1999999,"Right",1,1,0,50,"Right","NoStop"
5,"118",345.8,"Left",1,1,0,50,"Left","NoStop"
5,"119",401.5,"Right",1,1,0,50,"Right","NoStop"
